genome	genus	name	strain	assembly_accession	bioproject	biosample	assembly_level
GCA_902826075	Nitrosocosmicus	Nitrosocosmicus sp. RBC071	RBC071	GCA_902826075.1	PRJEB30654	SAMEA6595150	Scaffold
GCA_001870125	Nitrosocosmicus	Nitrosocosmicus hydrocola G61	G61	GCA_001870125.1	PRJNA317395	SAMN04606696	Complete Genome
GCA_013114705	Nitrosocosmicus	Nitrosocosmicus sp. WS192	WS192	GCA_013114705.1	PRJNA406858	SAMN08832814	Contig
GCA_900696045	Nitrosocosmicus	Nitrosocosmicus franklandus NFRAN1	NFRAN1	GCA_900696045.1	PRJEB31120	SAMEA5366454	Complete Genome
GCA_008389435	Nitrosocosmicus	Nitrosocosmicus sp. SS	SS	GCA_008389435.1	PRJNA564394	SAMN12711575	Scaffold
GCA_000802205	Nitrosocosmicus	Nitrosocosmicus oleophilus MY3	MY3	GCA_000802205.2	PRJNA210256	SAMN03074222	Complete Genome
GCA_009379865	Nitrosocosmicus	Nitrosocosmicus sp. Dino_bin19	Dino_bin19	GCA_009379865.1	PRJNA494230	SAMN12830842	Scaffold
GCA_007826885	Nitrosocosmicus	Nitrosocosmicus arcticus Kfb	Kfb	GCA_007826885.1	PRJNA505990	SAMN10440610	Scaffold
GCA_016782145	Nitrosodeserticola	Nitrososphaeraceae archaeon LB2_1	LB2_1	GCA_016782145.1	PRJNA665391	SAMN16295026	Scaffold
GCA_016782225	Nitrosodeserticola	Nitrososphaeraceae archaeon LB3_1	LB3_1	GCA_016782225.1	PRJNA665391	SAMN16295035	Scaffold
GCA_016782285	Nitrosodeserticola	Nitrososphaeraceae archaeon YB1_1	YB1_1	GCA_016782285.1	PRJNA665391	SAMN16295081	Scaffold
GCA_016782245	Nitrosodeserticola	Nitrososphaeraceae archaeon MB4_1	MB4_1	GCA_016782245.1	PRJNA665391	SAMN16295076	Scaffold
GCA_016782265	Nitrosodeserticola	Nitrososphaeraceae archaeon MB3_1	MB3_1	GCA_016782265.1	PRJNA665391	SAMN16295072	Scaffold
GCA_016782315	Nitrosodeserticola	Nitrososphaeraceae archaeon YB3_2	YB3_2	GCA_016782315.1	PRJNA665391	SAMN16295085	Scaffold
GCA_016782305	Nitrosodeserticola	Nitrososphaeraceae archaeon MB1_1	MB1_1	GCA_016782305.1	PRJNA665391	SAMN16295069	Scaffold
GCA_016782195	Nitrosodeserticola	Nitrososphaeraceae archaeon LB5_1	LB5_1	GCA_016782195.1	PRJNA665391	SAMN16295042	Scaffold
GCA_013114725	QCWD01	Nitrososphaeraceae archaeon WS9	WS9	GCA_013114725.1	PRJNA406858	SAMN08832813	Contig
GCA_002501935	UBA10452	Nitrososphaeraceae archaeon UBA273	UBA273	GCA_002501935.1	PRJNA348753	SAMN06027531	Scaffold
GCA_002501855	UBA10452	Nitrososphaeraceae archaeon UBA348	UBA348	GCA_002501855.1	PRJNA348753	SAMN06027446	Scaffold
GCA_002496625	UBA10452	Nitrososphaeraceae archaeon UBA536	UBA536	GCA_002496625.1	PRJNA348753	SAMN06027053	Scaffold
GCA_002495965	UBA10452	Nitrososphaeraceae archaeon UBA347	UBA347	GCA_002495965.1	PRJNA348753	SAMN06027441	Scaffold
GCA_002498345	UBA10452	Nitrososphaeraceae archaeon UBA466	UBA466	GCA_002498345.1	PRJNA348753	SAMN06027138	Scaffold
GCA_002504425	UBA10452	Nitrososphaeraceae archaeon UBA272	UBA272	GCA_002504425.1	PRJNA348753	SAMN06027532	Scaffold
GCA_003176995	UBA10452	Nitrososphaeraceae archaeon RRmetagenome_bin19	RRmetagenome_bin19	GCA_003176995.1	PRJNA471400	SAMN09209451	Scaffold
GCA_936417005	UBA10452	Nitrososphaeraceae archaeon KWL-0179	KWL-0179	GCA_936417005.1	PRJEB41762	SAMEA13863682	Contig
GCA_933226985	UBA10452	Nitrososphaeraceae archaeon S1130_Bin_3	S1130_Bin_3	GCA_933226985.1	PRJEB49283	SAMEA13348239	Contig
GCA_933227015	UBA10452	Nitrososphaeraceae archaeon COA_Bin_4_1	COA_Bin_4_1	GCA_933227015.1	PRJEB49283	SAMEA13348240	Contig
GCA_933226995	UBA10452	Nitrososphaeraceae archaeon S100_Bin_4	S100_Bin_4	GCA_933226995.1	PRJEB49283	SAMEA13348241	Contig
GCA_933227005	UBA10452	Nitrososphaeraceae archaeon S89_Bin_2	S89_Bin_2	GCA_933227005.1	PRJEB49283	SAMEA13348242	Contig
GCA_014534515	Unknown	Nitrososphaeraceae archaeon C3-bin5	C3-bin5	GCA_014534515.1	PRJNA647683	SAMN15929732	Contig
GCA_019241055	Unknown	Nitrososphaeraceae archaeon CP_BM_RX_84	CP_BM_RX_84	GCA_019241055.1	PRJNA687273	SAMN17140590	Contig
GCA_019246625	Unknown	Nitrososphaeraceae archaeon CP_BM_ER_53	CP_BM_ER_53	GCA_019246625.1	PRJNA687273	SAMN17140401	Contig
GCA_002495135	Nitrososphaera	Nitrososphaera sp. UBA239	UBA239	GCA_002495135.1	PRJNA348753	SAMN06027203	Scaffold
GCA_002501845	Nitrososphaera	Nitrososphaera sp. UBA217	UBA217	GCA_002501845.1	PRJNA348753	SAMN06027587	Scaffold
GCA_002495575	Nitrososphaera	Nitrososphaera sp. UBA216	UBA216	GCA_002495575.1	PRJNA348753	SAMN06027588	Scaffold
GCA_001917865	Nitrososphaera	Nitrososphaera sp. 13_1_40CM_48_12	13_1_40CM_48_12	GCA_001917865.1	PRJNA297196	SAMN04327844	Scaffold
GCA_002508435	Nitrososphaera	Nitrososphaera sp. UBA240	UBA240	GCA_002508435.1	PRJNA348753	SAMN06027635	Scaffold
GCA_000303155	Nitrososphaera	Nitrososphaera gargensis Ga9.2	Ga9.2	GCA_000303155.1	PRJNA60505	SAMN02603264	Complete Genome
GCA_014533965	Nitrososphaera	Nitrososphaera sp. T1-bin3	T1-bin3	GCA_014533965.1	PRJNA647683	SAMN15929759	Scaffold
GCA_002494895	Nitrososphaera	Nitrososphaera sp. UBA210	UBA210	GCA_002494895.1	PRJNA348753	SAMN06027106	Contig
GCA_000730285	Nitrososphaera	Nitrososphaera evergladensis SR1	SR1	GCA_000730285.1	PRJNA235208	SAMN03081530	Complete Genome
GCA_000698785	Nitrososphaera	Nitrososphaera viennensis EN76	EN76	GCA_000698785.1	PRJEA60103	SAMN02721150	Complete Genome
GCA_013388945	Nitrososphaera	Nitrososphaera sp. L.E.AR.1	L.E.AR.1	GCA_013388945.1	PRJNA564648	SAMN14673727	Contig
GCA_013114715	Nitrososphaera	Nitrososphaera sp. WS208	WS208	GCA_013114715.1	PRJNA406858	SAMN08832815	Contig
GCA_009377575	TH5896	Nitrososphaeraceae archaeon Dino_bin45	Dino_bin45	GCA_009377575.1	PRJNA494230	SAMN12830865	Scaffold